Bin	Classification
bin13_Fa13.BD.MLB.SN.fa	Comamonadaceae
bin15_Fa13.BD.MLB.SN.fa	Comamonadaceae
bin31_Fa13.BD.MM110.DN.fa	Comamonadaceae
bin37_Sp13.BD.MM15.SD.fa	Comamonadaceae
bin63_Sp13.BD.MM110.SD.fa	Comamonadaceae
Fa13.BD.MLB.DN.fa_MC	Comamonadaceae
Sp13.BD.MM110.DD.fa_MC	Comamonadaceae
Su13.BD.MLB.SD.C_bin2.fa	Comamonadaceae
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC1	Comamonadaceae
Su13.BD.MM15.SN.C_bin1_bin2_bin6_bin10_MC2	Comamonadaceae
Su13.BD.MM110.DCMD_bin2.fa	Comamonadaceae
Su13.BD.MM15.SN.C_bin4.fa	Burkholderiales
Su13.BD.MLB.SD.C_bin1.fa	Beta-proteobacteria
Sp13.BD.MLB.SN_bin2.fa	Methylophilales
Sp13.BD.MLB.SN_bin1.fa	Methylophilales
Fa13.BD.MM110.SN_bin2.fa_HC	Beta-proteobacteria
Fa13.BD.MM15.SN_bin5.fa_HC	Beta-proteobacteria
bin83_Su13.BD.MM110.SN.C.fa	Methylophilales
bin78_Su13.BD.MM110.SN.C.fa	Beta-proteobacteria
bin77_Su13.BD.MM110.SN.C.fa	Methylophilales
bin55_Sp13.BD.MM110.SD.fa	Oxalobacteraceae
bin30_Fa13.BD.MM110.DN.fa_MC	Nitrosomonas
bin35_Fa13.BD.MM110.DN.fa	Nitrosomonas
bin19_Fa13.BD.MLB.SN.fa	Beta-proteobacteria